saturation_ratio,redundant_ro_calls,total_ro_calls,late_readonly_fraction,loop_fraction,loop_steps,stagnation_fraction,stagnation_windows,total_stag_windows,novelty_drop,error_shift,n_steps_used,task_idx,subtask_idx,task_id,is_final,subtask_description,n_steps,n_errors,n_api_calls,n_readonly_calls,n_unique_api_fqs,step_of_first_complete_task,n_complete_task_calls,chars_assistant,chars_output,final_score,final_success
0.0,0,7,0.0,0.0,0,0.0,0,5,0.19999999999999996,0.0,9,0,0,50e1ac9_1,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2809,3299,,
0.0,0,8,0.0,0.0,0,0.0,0,7,0.0,0.0,11,0,1,50e1ac9_1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
0.0,0,11,0.0,0.0,0,0.0,0,12,0.1428571428571429,0.0,16,0,2,50e1ac9_1,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
0.0,0,16,0.0,0.0,0,0.0,0,5,0.0,0.0,9,0,3,50e1ac9_1,True,"Give me a comma-separated list of top 4 most played r&b song titles from across my Spotify song, album and playlist libraries.",9,0,18,16,9,8,1,3103,19800,1.0,1.0
0.0,0,7,0.0,0.0,0,0.0,0,5,0.19999999999999996,0.0,9,1,0,50e1ac9_2,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
0.0,0,8,0.0,0.0,0,0.0,0,7,0.0,0.0,11,1,1,50e1ac9_2,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
0.0,0,11,0.0,0.0,0,0.0,0,12,0.1428571428571429,0.0,16,1,2,50e1ac9_2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
0.0,0,13,0.0,0.0,0,0.0,0,9,0.4444444444444444,0.0,13,1,3,50e1ac9_2,True,"Give me a comma-separated list of top 6 most played edm song titles from across my Spotify song, album and playlist libraries.",13,0,15,13,9,12,1,2351,16240,1.0,1.0
0.0,0,7,0.0,0.0,0,0.0,0,5,0.19999999999999996,0.0,9,2,0,50e1ac9_3,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
0.0,0,8,0.0,0.0,0,0.0,0,7,0.0,0.0,11,2,1,50e1ac9_3,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
0.0,0,11,0.0,0.0,0,0.0,0,12,0.1428571428571429,0.0,16,2,2,50e1ac9_3,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
0.0,0,11,0.0,0.0,0,0.0,0,7,0.375,0.0,11,2,3,50e1ac9_3,True,"Give me a comma-separated list of top 3 most played indie song titles from across my Spotify song, album and playlist libraries.",11,0,13,11,8,10,1,2377,6766,1.0,1.0
0.0,0,7,0.0,0.0,0,0.0,0,5,0.19999999999999996,0.0,9,3,0,fac291d_1,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2804,3299,,
0.0,0,8,0.0,0.0,0,0.0,0,7,0.0,0.0,11,3,1,fac291d_1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
