task_idx,task_id,subtask_idx,is_final,subtask_description,n_steps,n_errors,n_api_calls,n_readonly_calls,n_unique_api_fqs,step_of_first_complete_task,n_complete_task_calls,chars_assistant,chars_output,final_score,final_success
0,50e1ac9_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2809,3299,,
0,50e1ac9_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
0,50e1ac9_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
0,50e1ac9_1,3,True,"Give me a comma-separated list of top 4 most played r&b song titles from across my Spotify song, album and playlist libraries.",9,0,18,16,9,8,1,3103,19800,1.0,1.0
1,50e1ac9_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
1,50e1ac9_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
1,50e1ac9_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
1,50e1ac9_2,3,True,"Give me a comma-separated list of top 6 most played edm song titles from across my Spotify song, album and playlist libraries.",13,0,15,13,9,12,1,2351,16240,1.0,1.0
2,50e1ac9_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2806,3299,,
2,50e1ac9_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
2,50e1ac9_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
2,50e1ac9_3,3,True,"Give me a comma-separated list of top 3 most played indie song titles from across my Spotify song, album and playlist libraries.",11,0,13,11,8,10,1,2377,6766,1.0,1.0
3,fac291d_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2804,3299,,
3,fac291d_1,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
3,fac291d_1,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
3,fac291d_1,3,True,"How many unique songs are there across my Spotify song library, albums library and all playlists?",9,0,11,9,7,8,1,1750,5550,1.0,1.0
4,fac291d_2,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2808,3299,,
4,fac291d_2,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
4,fac291d_2,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
4,fac291d_2,3,True,"How many unique songs are there across my Spotify song library, albums library and all playlists?",9,0,11,9,7,8,1,2054,5124,1.0,1.0
5,fac291d_3,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2810,3299,,
5,fac291d_3,1,False,What is the title of the most-liked song in my Spotify playlists.,11,0,10,8,8,10,1,4432,2330,,
5,fac291d_3,2,False,Christopher has asked for my movie recommendations via phone text message. Reply to them with a list of comma-separated movie titles from my Simple Note account as per their request.,16,0,15,11,11,15,1,6991,4424,,
5,fac291d_3,3,True,"How many unique songs are there across my Spotify song library, albums library and all playlists?",10,0,12,10,7,9,1,2186,6233,1.0,1.0
6,530b157_1,0,False,How many playlists do I have in Spotify?,9,0,9,7,7,8,1,2809,3299,,
